sa-hash,a-hash,artist,song,count
abffd32e04e55df056c8de31914141458d481c9d952ec0e0063f7ff8fdf1f7df,a71a26dd1920e1601afa63157fdd2e2bfbd63676e91f757731c7da5c9de4d7cd,"Annie Lennox","Walking on broken glass",25
3a8933763b929c78b52605f927eaecd8c28a5da95b53b91e9b5ee7073c9939c0,c2ce09cb217d8d65cc7085546021ff3468401b68b634e963323f2bdfe030bc8e,"Taylor Swift","I knew you were trouble",24
12e833b733a1db72cee550f8f3cf6b3e9052d158702789ac6b66acfe0789c52a,09dc8bf61e74f574de9065258d60b3afef42a07d606a1d5fe6d3fd5333ba65ba,"Lars Winnerbäck & Miss Li","Om du lämnade mig nu",20
ca885ddf31d63ed00e0f8797ddb5a7f4a8b3ac87cee209be36e1664b8c0a571e,990a1734b12975785751021a095756fee63abee6c63eadd4d6dc9359d5d3797b,"Kid Creole & The Coconuts","Annie, I'm not your daddy",9
9ed4b17e0736ee68cbf46e021b9b7d1f3f1d95d6eb817e67fc2811d6e063044e,d14c259f9aee09ffaf071d6a1580c315f5486a47a13a722ddd184de88ea57316,"Bryan Adams","Cloud # 9",21
0381e4a14ff83fbe07ead69493d66211d9050d22c870afa8e426ff112b73153a,314e01efb4097e2743c31c79436098c04c93475f4aa6b1f3a4bd035d55914071,"Lisa Nilsson","Var är du min vän",54
bf8309e16d0a8f3fc559d753823504a39889066cdcc6d144d149a92a8590a1be,95fb1e05dbabd20a4ea5440cdc0ea6d46cbbd26dcf54da9782f4240c68712b02,Him,"Join me",15
b06cdd0f95ce4e4341ec96fef64ab200d5b99cb3aedb20dc78fc25cca91a276e,2b6f10a47f04efd32c0d1044a8a18c8e08f3776f3138996ff18f76ed27a8d99a,"Ulf Lundell","En lycklig man",13
32d182617c19b3aa2251aba577c4af55a635a0e02f586e78ca3b3a794be2403d,45ede17459b957ff959c84a5cb75f335b7c68a37a313c02032a5c979cbee2de0,"Jenny Öhlund & Tommy Nilsson","Nu är tid att leva",4
92ec8b21a5187a47e33a29744a59dbbb30ab540625ecc6dc22d226f4e482c901,116692fe957cc37cd58f43d77771b3ad4f4ffe4d461c0e169baad47ea7fbd3c2,"Bruce Springsteen","4th of July, Asbury Park (Sandy)",4
5d9a35919f8ee6c91a6341a170edd0ca2bc08824f54876fd1f19fc3d6ea9e2b3,30638ec9aa1a14c75cb0236dca2ec6d4da3829029d199e281f358dec94dd57c4,"Icons Of Elegance","Gone are those days",7
5cac6c6be7f801916a93c8b661435607d72d2ba2dd7a57e53451537210f91716,2df44bef2f85de6eea2687503f80edb554aac1a9e44110c9873b093173dc5411,"Linnea Henriksson","Mitt rum i ditt hjärta",29
d324b7c8b8148a543c84bf0012f42e4d62c5dffc6f72ccf6a2b6aa5b032e4cf6,18576b2da4fc919c721c66d24352845c0b4b1813c79cbc1cc5e2eaa23fd24f67,"Michael Buble","It's a beautiful day",30
4c98358d273acfc0a305538b2670198ab0fd2bd29a8fd6fd40639c7199b630be,de88c82ccd3467b46946b7c7e63d58316c3ecc53358f6cd4405c5201514ebff5,"Emmylou Harris & Rodney Crowell","Hanging up my heart",8
d1c79729f79e251b34c5b8936b82bf8f2a8f1463a6d30d71a37be99099c98d8c,bb6806447bcfefe974aad99140dd096446828b51e1514b1e0f5050bb2a9fd625,"Tom Petty","Hard on me",10
0ccdbe076cab34829dc8fde1ca862aef297497fbd2a89cf05426019efbefac09,61b734a0f6adbfe91b4aba950ec2f3d1b9530b4b6278ca13091d17568102b234,"Patrik Isaksson","Du får göra som du vill",11
e84dc3b48c9e4504e0859abe9e50ac2b84d3637dd5df2428d4679ec6b2bae353,21f66212ba784d3b86fb280434327dd4ee4e3d9b4842b49a0afe2be3fc3cf72b,"Paul Oxley","Lazy dayzzz",9
69e7c0e3c2cf18a4765f80cc1f3cb94e2d21e45b8243e8ae8f4d2985684bcdca,f520f7602e2834819c9b07545527fd6e7b507a1debf6aa164ef365fbd4ddfb7e,"Steel Pulse","Brown eyed girl",11
a033f3d9f0c6d25b32e3e8b3a18f95f46d52409f326b25099942050ff77aa906,3fcd320b0f8a5307f08485fcc1709d267dc0b7d16523d370b11f78dc8d252b52,"Emmelie De Forest","Only Teardrops",28
6aa310ede10b0e83580ab23c716d1526c0597ddf9cc5a1422fb719c13393c517,76dabe8e355dd051fcc48c79501f61458c9204319bfcb2919bb902308d981b9b,"Bo Kaspers Orkester",Semester,10
13950cab96c7e074e08ef06a3d43334997eb02106c01d4f76256cd1419b2caa8,0c4f071433b2aeb854776139e02753074490b40a35be48d3310d413d1c4f5aa0,"Staffan Hellstrand","Hungrig väg",13
192408fe3ee52af2b4006c05879579a6464b983532e0f50da6a8558bac180bfa,e99c90db87c0e400832edcedcc1b14e33cff7559988f4d7032337e17401b2945,Train,Mermaid,4
f93814228fcfbaec9efe9e6f083665688adb039c315eb79d91fb300826b1ea0b,98b50aa75c87e32b1373a512ceb72a0ea91925cf8856b7c99ede1f5effd5888b,"Youssou N'dour & Neneh Cherry","7 Seconds",23
fbe5ab55e6c00e587578787b2e6064329572992751dc5c47d381657312b5f6c9,578edfcf1860802177cf0e1bedca12c95961b014a8cfda2845bf2014d04c5101,"Deep Purple","All the time in the world",16
281a96db76caf81803b5f3f42f029f608d90b9cadde1d5b21d3e5c20f833da6c,31724091b72ac3daf3270737d28a27c4ce2bdcab589dc50a1bd612cbd0fa81d9,"Chris Isaak","Summer holiday",13
1a065c0099574f47ef9310064f3ed03bf1bb3b8cd41e4221f07e8858c7cd8c66,8c8b0fbcfb0119305993f1eea5c2890b4ec3384d72987f535b3b9b14253cf684,"Stray Cats","Runaway boys",11
9c938adf325baa53d0348b4eeb82c956e06fb7759fc83cd287b892fcc332f329,bc5d9af6403fd50d6586ded2b88211ff7701f2f12a16d740662ed3b44ad36367,"Per Gessle","På promenad genom stan",12
7f4fd36abbe689f347fb1975ded02d5401be9d283040f9a08116fa470918e04d,3f8a54e93d1275fcda896f9bcf01559f36f80b6ad6792dde17ebd2d8ec8ed09a,"Kylie Minogue","I should be so lucky",17
