s-hash,artist,song,count
da3d4d44ca3acb56fa77db995f87818e597cfd44a84dbcd6701b7ef28bb01302,Lcmdf,"I go insane",5
73f50d406e0f1bac1c7e47c883090d4caec97c8e5736da8b62f87bf615f1b2b9,"James Morrison","I Won´t Let You Go",86
8152143fa5aed5aa8fc8db034e9538d7bc809209d763537e452bae9bdd4a6109,Kent,"Max 500",11
e26493ae65eec7044b26090442b27ccd4ae92475d2867ad37079107e5aeff6ef,"Kapten Röd","Saknade Vänner",103
6eab87be769cf67f4036e0a44cd16f8f0b358b26b86f1ee5da3325863d89a35b,"Norlie & Kkv","Tröjan du hatar",146
f6f7bfdacd8651ee1132e99b4c0e4fb019846f728883619939699331a1dc34e5,"Maroon 5","One more night",115
576a40b538925589ea96689a8e33aa00f663e5ce5e94af9e6ad0216723d9cd2d,Stiltskin,Inside,9
e3355ea11d9668475357388aa4ed94bb24c8f0d4ca50d5a4d2704c02254d21cb,Kesha,"Die young",108
cf85d634b7f68425d18230427cb57427ab460e34d5859ce5b75c0564ef56e333,"Michael Monroe","Ballad of the Lower East Side",106
1d4d9f81ee76ff15b62d0b1dd35f9f97ade914448f669fe64ffe0f7bed677280,"Craig David","Hot stuff",7
67b93df6ba977ed687ec371df9747ec6d66aa4bc1426e2d950a85995b7dab6b1,"Chris Cornell","You know my name",43
a459be611c21a9288379b875ab5971a199469c4f725fbf8f9216a9b24290b181,Takida,"Curly Sue",56
f3d5971b5118151a0be9384369c949a8faa87888724926879254d9b7fd977734,Volbeat,Fallen,66
e694dfcf45204637608440250ce257d9591c0537f3d9ec65bd511b89e3fcef8b,"30 Seconds To Mars & Kanye West",Hurricane,35
e9dad4309fa35546f9274c551f092f499b613cd6e5d81edba9a5890051901947,"Linnea Henriksson","Lyckligare nu",128
0d646a79420534d96cb7400395992f4bc05489535e436e7448580f2c2d16e9d8,"Eagle-eye Cherry","Save tonight",9
5983566dbce3f9a5d1422ff2e17cd104d63028354fa05b82a6ea326df279efad,"Margaret Berger","I Feed You My Love",58
833941f4c395b26e0ae19909bbd959bb0c0909fac4cfa6b79251947073e26c47,"Sturm Und Drang","Molly the murderer",71
40de751f78306f69cea8447cd907a2793402d25b4eb4b360c38b4a802e23fe67,Vink,"B and B",21
63f53d54189cdb4a2ca8c20e3a4743a41c6217519c39ac802a0b2303b04f2417,"Black Eyed Peas","Boom boom pow",31
aa94a605ce320fdf71f8ff51c3a25a6a9e2c52e8c9e4dff9d1877579dc8bb8b5,"Lotta Sandholm","Start again",16
