sa-hash,a-hash,artist,song,count
83ef03cfdf6a8ee48c81c6e22b804c83d2dd4b79a5caf3c570ea73089e014204,ea356e1be2d1da9e0d542870c183d5c8752478ea1748982fb05ef527a59f1a83,Paramore,"Still into you",157
5d0d0133ffe9539025fe8339c1f4dd55657f811713eb5e55961fc67ff3e50f6b,3457b87ca73edeaee54676a41fd0f72e343c69c06bfd66cb85bd7d05455fb37f,"Robin Thicke & T.i. & Pharrell","Blurred lines",319
abbbb30fac699625d4ca328323170f08a62ad0399e5b692317e07d2e38f22889,99793c479e9d722490d2f92d9b09bb09ab8024247f25a31ba699b86d2934bb76,Mew,"Am I wry? No",34
9a885a32f4851565d9bf029c2d042f9c1a25819be363c4b1694c224d88f53c96,c862b85b311cc7a3489fa07b305e9226df3ca1f2ca4546cbfe33de06f8bb3c22,Loreen,"We Got The Power",54
bf269f5308c50ffa47a793fc7d8128d16f2f226a20c6098b8bed4a391375b432,559b717777af71f8d57a9336b462ec3f89e888364e45f2dda5f6fa0fef6a88f8,Promoe,"These walls don't lie",33
2dc2ecf1b3de2fcd436d044e35710298507f1035c26a3bc0fa8bb006bc28eb6b,5fa6e8508fb9cfd5814f1401500fe736d05a94351ebc50fa0b2572cb4a04d9f2,Muse,"Panic station",48
61c3628e83ab65c6352d1d8a2e42ecd4cf211ede1e9923a14912a96c1f392d53,cc37a408a1a7acfbb22766e0073ee7f083095c30e0e2b3249f5ed65ae32818c4,Akon,"Right now (na na na)",46
d9a83f4cc27476b0fa9450fe4f4540b818e1dbe8abdb6c3aac1994135b0b55cc,27ee42e7977c3b1351f844901a415829ffc3ac52b040e31ef5c06ddd9ac1a434,"Kings Of Leon","Sex on fire",125
c44dad2de801de7c434cb8b5218bfb8b4fd07b16307a4acafe711bab1bccd4e0,2971fcc0e3b1b863e4c0ee7d9ac218c94ca9b3698d19d31b2a2abb845308ffc7,Fugees,"Ready or not",11
a033f3d9f0c6d25b32e3e8b3a18f95f46d52409f326b25099942050ff77aa906,3fcd320b0f8a5307f08485fcc1709d267dc0b7d16523d370b11f78dc8d252b52,"Emmelie De Forest","Only Teardrops",50
39523ca4f5708f5391e6f5468efa504bc6a4571bc4fce268186540ff8a589fa4,25399ee06eba86d26fc559010b95ce35b59fbd03fc1043cbdbd31e54b5da4546,"Arctic Monkeys","When the sun goes down",45
5b39be93dbbe41396118b0527346db0699578c3018384278b7cb0920a0ef45b2,58efb1faec0db07ba15f21568b852ea59b3fc07eb4d8e255e26fdcf5d9c2487d,"Sturm Und Drang",Hysteria,218
69a1bd0c8a752c1531d4691daf5b6a73626f7b2e042853f84c97174339c4a04a,588c1cc8e4c8fa407c203639484fe4272ee7e16fd5b64ec1f512b46afd45adf7,"Veronica Maggio",Måndagsbarn,23
3467a3ed94be72bb65954044c828f3e1e0a10a9e3161739ee8e31ad28df13e8c,8da5eabd078493130999082924849388250574e1c82de403cc8e74daed80b72c,"Hardcore Superstar","Above the law (Don't care at all)",95
9ca962b5229bdd99d7871b74790d35d05430ac090da50bd1b3fd796ce317068e,0bd9dc8503b06c5f7ec9cd6945df0098860066186cccfe4667123a99851217f3,"Paloma Faith","Do you want the truth or something beautiful?",30
3b3ef8ca690f528553f953d557acb5826401a91d7b7e689c0009ba9d857053ed,c54506b80e45c9f164265f1079cb4cacc5005ac82c8fe858057fa2449e8357e1,"Will.i.am & Eva Simons","This is love",117
562063e6ffdf8aad090077ef6f05185c24d62ec35d78bebec07dfffe3042c319,5dac8e33b0f7577dc272d342dbb7bd2f859d449c2e408b4ad7dc930360c1ceb7,"Kim Cesarion",Undressed,184
9d5324701a750f0833e76942d1eb0b13ed617fedc434423641a2abb2e2a0b551,a7102a694508269d22d2a4d51c090adea856e0261d3051a6b98b661310613850,"Eminem & Rihanna","Love the way you lie",40
a7f6b725ee3c4f15dacdaa1b2a0a7a24e588a83b31e176d7f840e7ac17931b05,e1748ae764e3085d54aaa6ae069dc821e404c5290921c498078cfa531b582611,"Isac Elliot","New Way Home",163
5a55820e9bcf034b16d63ee23c5c291f375bed75292f2b57be408fdb4ad9acec,7d94a758fa99a58111ab847cb7855abbaa06445e2eb6024e35b6f8c88095341a,"Markus Krunegård","Vi dansar bättre utan kläder",77
98258e9040391e0aaa0788ae985328325256d2b76193356b0fa9dd67b6dc8377,a59392b841c7ebbfbeffdf937299acde39e84bd426c33936cde2f06f574fb9b6,"Reckless Love","Night on fire",130
86f94bc3e7a0e68de8b91a335af89e57176d5177e2336091c848f9d368bf4a1c,f2161e313b584979f73abad49882cd6690d4b8dc92f78ce7ff23d238c53cdc8d,"Mutya Buena","Real girl",4
9930fce2cb69084b95b3c15132260dd1d56fb5d94c2bd5fbffdc9c687aa6c906,f9bc9df863738e5524aecec3483b3787fbb6a9af6913f3e3180ba918ad05c882,"Mange Schmidt",Maria,42
431182240bba1c40f379927754c289c84f72c979869b281d11639bddcb9be6f6,e99c90db87c0e400832edcedcc1b14e33cff7559988f4d7032337e17401b2945,Train,"Hey, soul sister",161
c704fbcb5a6e1c8be762f666d4bf97ee519e2a7c8fec3f5a23f1f6896327dac1,9919cbb0ca7cdcd70d0df691d185dcb0fc79df99c3a4c5efdcc2311f24b660bc,"Far East Movement & Cover Drive","Turn up the love",87
1bbcedf9e45e26ebb0e9c38495431d5182fe5ca71ccfcd8e32950732ec334a52,20da6c97c52892bf969ebf449a93e40cdc8e8dd0b6ccd796b639a4cedfdb57a9,Avicii,"X you",15
